NAMEN UPORABE INTERNETA;LETO;16–24;25–34;35–44;45–54;55–64;65–74
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;2012;16435;9488;6028;9533;2929;648
..Nalaganje vsebin na spletno stran;2012;-;-;-;-;-;-
..Pridobivanje informacij o izobraževanju;2012;-;-;-;-;-;-
..Opravljanje teèaja prek interneta;2012;-;-;-;-;-;-
..Pridobivanje novih znanj, informacij;2012;-;-;-;-;-;-
..Uporaba interneta za izobraževanje in teèaje;2012;-;-;-;-;-;-
..Udeležba kakršnega koli teèaja;2012;-;-;-;-;-;-
…Izvajanje raziskovanj prek interneta v sklopu teèaja;2012;-;-;-;-;-;-
…Izmenjava sporoèil prek interneta v povezavi s teèajem;2012;-;-;-;-;-;-
…Prenos uènega gradiva za teèaj prek interneta;2012;-;-;-;-;-;-
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;2012;-;-;-;-;-;-
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;2012;142631;185707;148414;99799;41059;11115
..Poslušanje spletnih radijskih postaj;2012;113665;148332;103510;69377;29648;3170
..Gledanje spletne TV;2012;91414;114482;100443;71439;30783;9909
..Iskanje drugih informacij;2012;-;-;-;-;-;-
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;2012;157707;180443;108660;50175;30511;11796
…Igranje spletnih iger z drugimi osebami;2012;65457;46181;27020;12338;5846;720
..Izdelava spletnih strani ali blogov;2012;31066;17799;12032;9254;1346;1268
..Uporaba e-pošte za delitev datotek;2012;-;-;-;-;-;-
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;2012;-;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;2012;-;-;-;-;-;-
..Uporaba zunanjih naprav za delitev datotek;2012;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;2012;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice;2012;35959;38454;20957;13012;6473;-
..Pošiljanje sporoèil v novièarske skupine;2012;15302;11877;13553;7702;1838;-
..Pošiljanje sporoèil v spletne forume;2012;77511;92992;57458;42173;20516;1849
..Branje spletnih forumov;2012;156094;216666;160980;115026;63555;17586
..Neposredno sporoèanje;2012;100503;116718;86597;41190;18009;2940
..Branje blogov;2012;-;-;-;-;-;-
..Pošiljanje komentarjev na druge bloge;2012;57222;65722;28224;24788;8068;1268
..Ustvarjanje in urejanje lastnega bloga;2012;-;-;-;-;-;-
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;2012;-;-;-;-;-;-
...Uporaba spletnih strani e-uprave za pridobivanje informacij;2012;-;-;-;-;-;-
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;2012;-;-;-;-;-;-
…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;2012;-;-;-;-;-;-
Posamezniki;2013;196579;293744;299580;307714;285510;183364
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];2013;192701;284598;260910;211022;144473;44753
..Pošiljanje ali prejemanje e-pošte;2013;188381;268548;226676;159607;109113;30240
..E-banèništvo;2013;53598;142367;138402;100764;56705;14369
..Iskanje informacij o blagu, storitvah;2013;147233;230151;208114;147455;97323;27528
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;2013;-;-;-;-;-;-
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;2013;-;-;-;-;-;-
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2013;90003;150623;124196;88307;58206;17059
..Branje spletni novic, spletnih èasopisov, spletnih revij;2013;162695;232405;202448;163995;104758;32461
...Naroèilo na spletne èasopisove, revije;2013;16572;17693;18600;11952;10391;3518
..Iskanje službe, pošiljanje prošenj za službo;2013;56885;102251;54535;23708;10278;-
..Iskanje informacij, povezanih z zdravjem;2013;125098;211861;188867;136133;93441;28912
..E-naroèanje obiska pri zdravniku;2013;-;-;-;-;-;-
..Sodelovanje v spletnih družabnih omrežjih;2013;168292;208984;124613;57312;30124;10357
..Sodelovanje v profesionalnih spletnih omrežjih;2013;8453;31031;18070;5794;5074;493
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2013;-;-;-;-;-;-
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2013;91730;114623;79807;54041;49659;10514
...Telefoniranje prek interneta;2013;-;-;-;-;-;-
…Video telefoniranje s spletno kamero prek interneta;2013;-;-;-;-;-;-
..Telefoniranje prek interneta, videokonferenca;2013;-;-;-;-;-;-
..Branje in objavljanje mnenj o politiènih temah;2013;31232;40803;33620;12349;10416;1935
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;2013;20081;38819;28048;17241;12580;2358
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;2013;-;-;-;-;-;-
..Prodaja blaga, storitev;2013;111955;158492;135340;81336;52162;9814
..Prenašanje programske opreme;2013;106626;102749;69274;22883;14036;573
..Nalaganje lastnih vsebin na spletne strani;2013;-;-;-;-;-;-
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;2013;153547;167531;151136;84885;53039;16364
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;2013;-;-;-;-;-;-
..Nalaganje vsebin na spletno stran;2013;-;-;-;-;-;-
..Pridobivanje informacij o izobraževanju;2013;129397;146917;109399;60020;40726;10181
..Opravljanje teèaja prek interneta;2013;17643;17182;12610;5863;5168;933
..Pridobivanje novih znanj, informacij;2013;-;-;-;-;-;-
..Uporaba interneta za izobraževanje in teèaje;2013;-;-;-;-;-;-
..Udeležba kakršnega koli teèaja;2013;-;-;-;-;-;-
…Izvajanje raziskovanj prek interneta v sklopu teèaja;2013;-;-;-;-;-;-
…Izmenjava sporoèil prek interneta v povezavi s teèajem;2013;-;-;-;-;-;-
…Prenos uènega gradiva za teèaj prek interneta;2013;-;-;-;-;-;-
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;2013;-;-;-;-;-;-
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;2013;-;-;-;-;-;-
..Poslušanje spletnih radijskih postaj;2013;-;-;-;-;-;-
..Gledanje spletne TV;2013;-;-;-;-;-;-
..Iskanje drugih informacij;2013;-;-;-;-;-;-
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;2013;-;-;-;-;-;-
…Igranje spletnih iger z drugimi osebami;2013;-;-;-;-;-;-
..Izdelava spletnih strani ali blogov;2013;-;-;-;-;-;-
..Uporaba e-pošte za delitev datotek;2013;-;-;-;-;-;-
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;2013;-;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;2013;-;-;-;-;-;-
..Uporaba zunanjih naprav za delitev datotek;2013;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;2013;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice;2013;-;-;-;-;-;-
..Pošiljanje sporoèil v novièarske skupine;2013;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne forume;2013;-;-;-;-;-;-
..Branje spletnih forumov;2013;-;-;-;-;-;-
..Neposredno sporoèanje;2013;-;-;-;-;-;-
..Branje blogov;2013;-;-;-;-;-;-
..Pošiljanje komentarjev na druge bloge;2013;-;-;-;-;-;-
..Ustvarjanje in urejanje lastnega bloga;2013;-;-;-;-;-;-
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;2013;-;-;-;-;-;-
...Uporaba spletnih strani e-uprave za pridobivanje informacij;2013;-;-;-;-;-;-
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;2013;-;-;-;-;-;-
…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;2013;-;-;-;-;-;-
Posamezniki;2014;189357;288715;300949;306781;288598;187351
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];2014;184002;270676;269742;214616;128800;50163
..Pošiljanje ali prejemanje e-pošte;2014;181332;254935;231453;164420;102477;39324
..E-banèništvo;2014;48192;168083;140247;77714;55043;14865
..Iskanje informacij o blagu, storitvah;2014;164597;250050;238194;176194;99222;41319
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;2014;-;-;-;-;-;-
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;2014;-;-;-;-;-;-
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2014;54123;121163;111593;86364;42924;21101
..Branje spletni novic, spletnih èasopisov, spletnih revij;2014;160951;231708;215069;171022;97235;36695
...Naroèilo na spletne èasopisove, revije;2014;-;-;-;-;-;-
..Iskanje službe, pošiljanje prošenj za službo;2014;-;-;-;-;-;-
..Iskanje informacij, povezanih z zdravjem;2014;-;-;-;-;-;-
..E-naroèanje obiska pri zdravniku;2014;10337;21513;24570;22373;14522;7715
..Sodelovanje v spletnih družabnih omrežjih;2014;171427;199356;152500;72020;45960;11814
..Sodelovanje v profesionalnih spletnih omrežjih;2014;-;-;-;-;-;-
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2014;-;-;-;-;-;-
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2014;91890;126270;105395;70691;49483;16276
...Telefoniranje prek interneta;2014;-;-;-;-;-;-
…Video telefoniranje s spletno kamero prek interneta;2014;-;-;-;-;-;-
..Telefoniranje prek interneta, videokonferenca;2014;-;-;-;-;-;-
..Branje in objavljanje mnenj o politiènih temah;2014;-;-;-;-;-;-
..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;2014;-;-;-;-;-;-
..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;2014;91718;79590;60657;26137;21070;3729
..Prodaja blaga, storitev;2014;81312;137222;117397;67216;32349;14646
..Prenašanje programske opreme;2014;-;-;-;-;-;-
..Nalaganje lastnih vsebin na spletne strani;2014;109177;129049;101817;41771;32230;8456
..Pridobivanje znanja s pomoèjo spletnih enciklopedij;2014;-;-;-;-;-;-
…Objavljanje lastnih prispevkov v spletnih enciklopedijah;2014;-;-;-;-;-;-
..Nalaganje vsebin na spletno stran;2014;-;-;-;-;-;-
..Pridobivanje informacij o izobraževanju;2014;-;-;-;-;-;-
..Opravljanje teèaja prek interneta;2014;-;-;-;-;-;-
..Pridobivanje novih znanj, informacij;2014;-;-;-;-;-;-
..Uporaba interneta za izobraževanje in teèaje;2014;-;-;-;-;-;-
..Udeležba kakršnega koli teèaja;2014;-;-;-;-;-;-
…Izvajanje raziskovanj prek interneta v sklopu teèaja;2014;-;-;-;-;-;-
…Izmenjava sporoèil prek interneta v povezavi s teèajem;2014;-;-;-;-;-;-
…Prenos uènega gradiva za teèaj prek interneta;2014;-;-;-;-;-;-
…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;2014;-;-;-;-;-;-
..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;2014;-;-;-;-;-;-
..Poslušanje spletnih radijskih postaj;2014;104385;128167;122539;67612;30516;14657
..Gledanje spletne TV;2014;-;-;-;-;-;-
..Iskanje drugih informacij;2014;-;-;-;-;-;-
..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;2014;139200;143651;133978;62333;31724;14452
…Igranje spletnih iger z drugimi osebami;2014;46935;28577;19972;11488;4029;-
..Izdelava spletnih strani ali blogov;2014;22228;28402;22200;6274;3083;2849
..Uporaba e-pošte za delitev datotek;2014;167689;212660;183160;124601;76836;27621
..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;2014;150688;137898;108808;37368;29339;5306
..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;2014;72491;64629;48334;20597;15484;1975
..Uporaba zunanjih naprav za delitev datotek;2014;147293;174827;168354;106487;56001;19482
..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;2014;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne klepetalnice;2014;-;-;-;-;-;-
..Pošiljanje sporoèil v novièarske skupine;2014;-;-;-;-;-;-
..Pošiljanje sporoèil v spletne forume;2014;-;-;-;-;-;-
..Branje spletnih forumov;2014;-;-;-;-;-;-
..Neposredno sporoèanje;2014;-;-;-;-;-;-
..Branje blogov;2014;-;-;-;-;-;-
..Pošiljanje komentarjev na druge bloge;2014;-;-;-;-;-;-
..Ustvarjanje in urejanje lastnega bloga;2014;-;-;-;-;-;-
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;2014;-;-;-;-;-;-
...Uporaba spletnih strani e-uprave za pridobivanje informacij;2014;-;-;-;-;-;-
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;2014;-;-;-;-;-;-
…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;2014;-;-;-;-;-;-
